Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Age Band,Continent
39,Non-binary,High School,Widowed,99622.0,720,23158.0,Auto,Employed,6,Good,0.23245869386280138,65046,4,New Ashley,MN,El Salvador,2,1,Low,30-44,North America
67,Male,PhD,Divorced,110896.0,689,11503.0,Business,Self-employed,9,Excellent,0.10372781705381619,121360,0,New Russellfurt,HI,Jersey,2,0,Medium,>=60,Europe
28,Female,PhD,Single,64541.0,703,20017.0,Auto,Self-employed,1,Good,0.3101439395113184,24856,4,Lake Keithtown,MO,Suriname,1,1,High,18-29,South America
31,Female,PhD,Widowed,50885.0,669,18293.0,Home,Unemployed,7,Poor,0.35949690478530016,99103,4,Margaretchester,KY,Mayotte,3,2,Low,30-44,Africa
48,Male,Master's,Divorced,107050.0,711,14382.0,Business,Self-employed,3,Excellent,0.13434843531060253,142063,1,New Janet,CT,Samoa,1,1,Medium,45-59,Oceania
35,Male,High School,Divorced,114877.0,699,46113.0,Business,Unemployed,6,Excellent,0.4014119449498159,254153,0,Port Andreamouth,WV,Luxembourg,1,1,Medium,30-44,Europe
36,Female,Bachelor's,Divorced,44283.0,755,42326.0,Personal,Self-employed,7,Poor,0.9558069688142177,228890,4,Turnerchester,NV,Micronesia,0,2,Low,30-44,Oceania
59,Female,High School,Single,60385.0,743,30961.0,Business,Self-employed,19,Excellent,0.5127266705307609,222830,4,Greenport,WV,Azerbaijan,2,0,Low,45-59,Asia
43,Female,Bachelor's,Single,29797.0,727,10640.0,Business,Self-employed,14,Excellent,0.3570829278115247,89291,4,Frankport,NE,Austria,3,0,Low,30-44,Europe
39,Non-binary,Bachelor's,Divorced,31137.0,757,7326.0,Personal,Unemployed,9,Poor,0.23528278254167068,68848,3,North Nathantown,MN,Indonesia,1,2,Medium,30-44,Asia
62,Female,PhD,Divorced,115923.0,726,37406.0,Personal,Self-employed,17,Good,0.32267970980737215,154178,1,West Elizabethside,MA,Peru,2,1,High,>=60,South America
22,Female,High School,Widowed,69738.0,727,15974.0,Auto,Self-employed,10,Good,0.22905732885944535,238717,1,New Kathryn,OR,Norway,0,1,Low,18-29,Europe
37,Non-binary,PhD,Divorced,76795.0,645,33454.0,Personal,Self-employed,13,Excellent,0.4356273194869458,40258,4,Andreaborough,NV,Bangladesh,3,0,Low,30-44,Asia
27,Non-binary,High School,Widowed,61232.0,643,46522.0,Business,Unemployed,6,Fair,0.7597661353540632,285561,2,Villafurt,RI,Sao Tome and Principe,2,0,Low,18-29,Africa
65,Male,Master's,Single,89126.0,643,38741.0,Auto,Employed,0,Excellent,0.43467674976998855,50589,1,New Julieside,AK,Martinique,4,0,High,>=60,North America
66,Non-binary,PhD,Widowed,104677.0,784,24588.0,Home,Unemployed,9,Fair,0.2348940072795361,50584,4,South Karen,NM,Finland,4,0,Low,>=60,Europe
27,Non-binary,Master's,Divorced,80523.0,604,13043.0,Auto,Employed,15,Excellent,0.1619785651304596,201865,3,North Jessicachester,WY,Andorra,4,1,Low,18-29,Europe
37,Female,PhD,Single,20987.0,640,8042.0,Home,Employed,12,Fair,0.3831895935579168,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low,30-44,South America
26,Male,High School,Widowed,28583.0,611,29949.0,Personal,Employed,19,Excellent,1.0477906447888605,139629,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0,Medium,18-29,Africa
21,Male,Bachelor's,Divorced,39330.0,769,27489.0,Home,Self-employed,14,Excellent,0.6989321128909229,284455,3,Martinezmouth,PA,Costa Rica,0,2,Low,18-29,North America
52,Non-binary,PhD,Divorced,111594.0,715,9174.0,Home,Unemployed,4,Good,0.08220872089897306,137074,2,Victoriamouth,MN,Western Sahara,2,1,Low,45-59,Africa
27,Female,High School,Divorced,102789.0,742,10729.0,Business,Employed,17,Good,0.10437887322573428,269293,0,Lauratown,AL,Vanuatu,1,0,Medium,18-29,Oceania
47,Non-binary,High School,Married,28673.0,699,19540.0,Auto,Unemployed,19,Fair,0.6814773480277613,255563,0,North Bonnie,MI,Mali,1,2,Medium,45-59,Africa
22,Female,Bachelor's,Widowed,35973.0,663,19492.0,Auto,Unemployed,2,Good,0.5418508325688711,82006,3,Hartmanmouth,VI,Suriname,0,0,Medium,18-29,South America
41,Male,Bachelor's,Single,62011.0,747,15722.0,Business,Employed,3,Poor,0.2535356630275274,259195,2,Garrettton,MD,Romania,3,0,Medium,30-44,Europe
54,Male,Bachelor's,Married,114486.0,704,32353.0,Auto,Self-employed,7,Poor,0.2825935048826931,222630,1,Jarviston,KY,Saint Pierre and Miquelon,1,1,Low,45-59,North America
34,Female,Bachelor's,Single,42064.0,760,39482.0,Personal,Employed,0,Excellent,0.9386173449980981,243318,0,Krystalberg,PA,Lesotho,3,2,Low,30-44,Africa
43,Female,PhD,Widowed,31231.0,712,48935.0,Personal,Employed,8,Good,1.5668726585764146,277314,2,South Kent,CT,Pakistan,3,0,Medium,30-44,Asia
47,Male,Bachelor's,Married,85651.0,799,17157.0,Auto,Unemployed,2,Fair,0.20031289768946073,200136,3,Matthewshire,RI,Grenada,3,0,Medium,45-59,North America
45,Male,Bachelor's,Divorced,85839.0,686,29177.0,Business,Self-employed,11,Excellent,0.3399037733431191,114053,0,Port Vickie,LA,New Caledonia,4,0,Low,45-59,Oceania
20,Non-binary,Bachelor's,Single,109590.0,625,41449.0,Personal,Self-employed,16,Fair,0.37821881558536363,114922,1,Annettemouth,PR,Cape Verde,4,2,Low,18-29,Africa
47,Non-binary,High School,Single,58217.0,658,15328.0,Business,Unemployed,11,Poor,0.2632907913496058,169695,0,East Nicholas,NH,Angola,0,0,Medium,45-59,Africa
49,Non-binary,Bachelor's,Married,105916.0,750,6324.0,Personal,Unemployed,17,Poor,0.059707692888704256,89195,2,New Phillip,SD,Peru,1,1,High,45-59,South America
62,Non-binary,Master's,Single,74850.0,650,17324.0,Personal,Self-employed,14,Excellent,0.2314495657982632,151244,0,New Catherineton,OR,Marshall Islands,0,2,Low,>=60,Oceania
40,Male,Bachelor's,Single,90179.0,693,32825.0,Personal,Self-employed,5,Good,0.3639982701072312,129600,3,Brownville,IL,Wallis and Futuna,4,1,Low,30-44,Oceania
31,Male,High School,Married,34002.0,738,23618.0,Home,Unemployed,6,Fair,0.6946061996353156,269695,3,Davismouth,AL,Peru,2,1,Low,30-44,South America
48,Male,Master's,Divorced,37540.0,673,34317.0,Home,Employed,7,Poor,0.9141449120937667,32715,4,New Sara,NE,Morocco,4,1,Medium,45-59,Africa
55,Non-binary,High School,Divorced,98283.0,650,42997.0,Auto,Unemployed,17,Fair,0.4374815583569895,178174,4,East John,ID,Argentina,0,0,Low,45-59,South America
65,Male,High School,Single,27826.0,736,43125.0,Auto,Employed,18,Good,1.5498095306547832,118770,0,West David,FL,Iraq,3,1,Medium,>=60,Asia
54,Non-binary,Master's,Single,62296.0,744,23778.0,Business,Self-employed,1,Excellent,0.38169384872222933,173854,0,Port Sandra,DE,Bulgaria,1,0,High,45-59,Europe
30,Non-binary,Master's,Widowed,114499.0,779,40584.0,Auto,Self-employed,6,Fair,0.3544485104673403,76919,3,New Susan,AR,Mauritius,2,1,Low,30-44,Africa
19,Female,Bachelor's,Single,83471.0,793,8810.0,Personal,Self-employed,14,Excellent,0.1055456386050245,145761,4,Baileystad,ND,Mauritania,1,0,Low,18-29,Africa
19,Female,Master's,Divorced,115381.0,727,40970.0,Auto,Self-employed,14,Good,0.3550844593130585,291530,1,Hunterside,SC,Namibia,0,0,Low,18-29,Africa
43,Male,Master's,Divorced,81683.0,693,10316.0,Home,Employed,2,Good,0.12629310872519373,28304,3,Dyerfort,MS,Holy See (Vatican City State),0,0,Low,30-44,Europe
25,Non-binary,Master's,Single,37330.0,797,28892.0,Personal,Unemployed,11,Excellent,0.7739619608893651,247877,3,Keithberg,IL,Iraq,2,1,Medium,18-29,Asia
32,Female,PhD,Single,99688.0,732,12429.0,Home,Unemployed,8,Poor,0.12467899847524276,267072,0,Port Sarahton,MI,North Macedonia,3,2,Medium,30-44,Europe
60,Male,PhD,Married,114018.0,636,28620.0,Business,Employed,1,Excellent,0.2510129979476925,38980,3,West Kaylee,CO,Liberia,1,1,Medium,>=60,Africa
35,Female,PhD,Single,39629.0,622,9537.0,Home,Unemployed,2,Fair,0.2406570945519695,48636,1,Desireeville,DC,Sao Tome and Principe,4,0,Low,30-44,Africa
66,Female,High School,Single,61291.0,639,7908.0,Personal,Unemployed,12,Poor,0.12902383710495832,33810,1,Port David,WA,Mayotte,3,2,Low,>=60,Africa
46,Female,Master's,Married,34284.0,775,26340.0,Personal,Self-employed,14,Fair,0.768288414420721,64156,4,New Melissamouth,NV,Wallis and Futuna,0,2,Medium,45-59,Oceania
28,Non-binary,Bachelor's,Divorced,98311.0,689,34763.0,Business,Employed,8,Excellent,0.35360234358311887,216062,0,West Deanna,TN,India,3,2,Low,18-29,Asia
67,Male,Bachelor's,Widowed,63148.0,660,16704.0,Auto,Self-employed,0,Fair,0.26452144169253183,40643,0,Kimberlychester,TX,Tajikistan,4,2,Low,>=60,Asia
28,Male,Bachelor's,Single,94693.0,718,20928.0,Business,Unemployed,5,Fair,0.2210089446949616,257028,2,Josephstad,MP,Georgia,4,2,Low,18-29,Asia
27,Male,High School,Single,88173.0,746,14800.0,Personal,Self-employed,8,Fair,0.16785183673006476,289092,0,South Susanfurt,KY,Congo,1,1,Low,18-29,Africa
34,Non-binary,High School,Married,70807.0,745,39572.0,Business,Employed,18,Good,0.558871298035505,130451,3,South Audrey,MP,Saint Lucia,4,0,Low,30-44,North America
38,Female,High School,Divorced,99314.0,656,17158.0,Personal,Self-employed,8,Excellent,0.1727651690597499,162247,4,Diazview,GU,Yemen,2,1,Low,30-44,Asia
48,Male,Bachelor's,Single,25465.0,671,36672.0,Auto,Self-employed,8,Fair,1.440094247005694,237546,4,Markville,PA,Romania,1,1,Medium,45-59,Europe
40,Female,High School,Widowed,104766.0,688,35808.0,Business,Employed,15,Poor,0.3417902754710498,198067,1,West Scottshire,MS,Falkland Islands (Malvinas),4,1,High,30-44,South America
69,Female,Master's,Divorced,118995.0,787,14398.0,Auto,Employed,15,Good,0.1209966805327955,148047,0,Clarkborough,DE,Bermuda,3,1,Medium,>=60,North America
31,Non-binary,High School,Widowed,63322.0,773,8074.0,Business,Employed,5,Fair,0.12750702757335522,267802,3,Port Michaelmouth,ID,Romania,1,0,High,30-44,Europe
43,Female,Master's,Single,34821.0,775,22889.0,Personal,Unemployed,18,Good,0.6573332184601246,278194,0,Lake James,MD,Niue,3,2,High,30-44,Oceania
18,Non-binary,High School,Widowed,99671.0,669,30460.0,Personal,Unemployed,18,Poor,0.30560544190386374,25531,1,Jacquelineborough,MP,Greece,1,1,Medium,18-29,Europe
56,Male,High School,Widowed,73953.0,710,42364.0,Home,Self-employed,1,Good,0.5728503238543399,152625,1,North Michael,NY,United States Minor Outlying Islands,2,2,Medium,45-59,North America
53,Female,PhD,Divorced,88669.0,720,17468.0,Home,Self-employed,6,Excellent,0.1970023345250313,199129,0,West Daniel,NE,Japan,4,1,Low,45-59,Asia
33,Non-binary,Bachelor's,Single,46953.0,627,23284.0,Business,Self-employed,7,Good,0.49590015547462357,192563,3,West Michelle,VA,Monaco,0,1,Medium,30-44,Europe
41,Female,High School,Married,89852.0,676,27422.0,Home,Self-employed,9,Excellent,0.30519075813560076,205004,1,Loweryland,VT,Tonga,4,0,Low,30-44,Oceania
62,Male,PhD,Divorced,87384.0,606,7297.0,Business,Self-employed,4,Good,0.08350498947175684,232491,3,West Melanieton,MH,Taiwan,0,0,Low,>=60,Asia
32,Female,Bachelor's,Married,78360.0,608,47644.0,Home,Unemployed,1,Fair,0.608014293006636,271432,3,East Veronica,KY,Tajikistan,4,0,Low,30-44,Asia
30,Non-binary,Master's,Married,55059.0,756,7413.0,Personal,Employed,5,Good,0.13463738898272762,29295,4,Walkerborough,WA,Tunisia,0,2,Low,30-44,Africa
59,Female,Master's,Married,77564.0,612,12357.0,Business,Employed,1,Good,0.15931359909236242,111458,0,Tylerport,DE,Marshall Islands,2,1,Medium,45-59,Oceania
66,Male,Master's,Divorced,64764.0,600,25486.0,Auto,Employed,17,Good,0.3935210919646717,79556,1,New Latashabury,AZ,Reunion,1,0,Medium,>=60,Africa
32,Female,High School,Widowed,118580.0,636,13116.0,Home,Self-employed,7,Fair,0.11060887164783269,267284,3,Savannahfurt,NC,Mauritius,0,1,Low,30-44,Africa
20,Female,High School,Married,41961.0,612,30866.0,Auto,Employed,11,Excellent,0.735587807726222,294593,0,Port Kentberg,CO,Brunei Darussalam,2,1,Low,18-29,Asia
35,Female,Master's,Divorced,84766.0,622,20645.0,Business,Unemployed,6,Fair,0.24355283958190785,77868,3,Blackwellchester,AR,Cote d'Ivoire,1,1,Medium,30-44,Africa
36,Non-binary,Master's,Divorced,44448.0,631,30975.0,Auto,Self-employed,18,Good,0.6968817494600432,130657,2,South Matthewmouth,MP,Bhutan,3,1,High,30-44,Asia
68,Female,High School,Single,113923.0,601,44653.0,Auto,Employed,1,Good,0.39195772583236044,263788,2,New Lindsay,OH,Mayotte,2,2,High,>=60,Africa
28,Male,Bachelor's,Single,83969.0,671,44332.0,Business,Employed,16,Fair,0.5279567459419547,88597,0,Julieborough,FM,United States of America,2,2,Low,18-29,North America
66,Non-binary,PhD,Divorced,111109.0,664,16734.0,Auto,Unemployed,0,Fair,0.1506088615683698,246188,0,Port Frank,RI,Grenada,2,2,High,>=60,North America
36,Female,PhD,Widowed,52548.0,766,8458.0,Auto,Employed,11,Fair,0.16095760066986375,62171,1,Simsfurt,WI,Falkland Islands (Malvinas),3,1,Low,30-44,South America
56,Non-binary,High School,Divorced,36600.0,724,26718.0,Business,Unemployed,17,Excellent,0.73,34116,4,Henrystad,PR,Libyan Arab Jamahiriya,4,0,Low,45-59,Africa
46,Male,PhD,Married,37986.0,741,5217.0,Personal,Unemployed,11,Excellent,0.1373400726583478,24766,4,North Stephanie,LA,Saint Lucia,2,2,Medium,45-59,North America
27,Female,Bachelor's,Single,55423.0,785,10956.0,Personal,Employed,7,Fair,0.1976796636775346,73141,4,Port Lindseyfort,MO,Saint Kitts and Nevis,1,1,Medium,18-29,North America
68,Non-binary,High School,Widowed,107151.0,754,39626.0,Business,Employed,13,Fair,0.3698145607600489,147103,1,South Aprilbury,TX,Equatorial Guinea,2,2,Low,>=60,Africa
54,Male,High School,Married,23794.0,754,42272.0,Personal,Unemployed,5,Good,1.7765823316802556,273159,4,Mannmouth,MT,Angola,3,2,High,45-59,Africa
63,Male,Bachelor's,Divorced,117980.0,750,34913.0,Auto,Employed,14,Fair,0.2959230378030175,79180,4,Higginsport,IN,Myanmar,4,0,Medium,>=60,Asia
19,Male,PhD,Married,105783.0,649,34842.0,Home,Unemployed,14,Excellent,0.3293723944301069,169091,4,North Lisa,PW,Serbia,3,0,High,18-29,Europe
66,Male,Bachelor's,Divorced,79893.0,641,8341.0,Personal,Employed,5,Excellent,0.10440213785938693,213287,4,Amberfort,VI,Oman,4,0,Medium,>=60,Asia
66,Non-binary,Bachelor's,Divorced,21299.0,621,14131.0,Personal,Self-employed,17,Good,0.663458378327621,272640,2,Karenborough,AL,Niger,2,0,Low,>=60,Africa
65,Male,Bachelor's,Divorced,82713.0,658,15995.0,Home,Employed,2,Excellent,0.1933795171254821,77072,2,Erinchester,NJ,Andorra,1,2,Low,>=60,Europe
59,Male,High School,Divorced,37373.0,743,12455.0,Home,Employed,9,Poor,0.3332619805742113,166261,2,Lake Kelsey,AL,Chile,1,1,Low,45-59,South America
47,Male,High School,Divorced,52577.0,625,33975.0,Home,Employed,7,Poor,0.6461951043231832,190682,2,Port Randalltown,VA,Korea,2,0,Low,45-59,Asia
38,Non-binary,Master's,Single,52903.0,736,37009.0,Personal,Unemployed,19,Good,0.6995633517947942,291166,2,West Carla,TX,Portugal,0,0,Medium,30-44,Europe
39,Female,Bachelor's,Widowed,36489.0,609,7961.0,Auto,Self-employed,9,Excellent,0.21817534051357942,181869,2,South Lisa,ID,Mayotte,4,2,Low,30-44,Africa
23,Male,High School,Married,83853.0,712,11358.0,Business,Employed,7,Good,0.13545132553397016,166988,3,Lake Vincent,PR,Luxembourg,2,1,Low,18-29,Europe
38,Non-binary,PhD,Married,104614.0,648,40992.0,Home,Unemployed,2,Fair,0.39184048024165025,166986,3,New Shawnborough,HI,Guatemala,3,1,High,30-44,North America
32,Male,Master's,Married,99211.0,631,44886.0,Personal,Unemployed,3,Fair,0.45242967009706586,123213,1,New Dylan,SD,Rwanda,4,1,High,30-44,Africa
58,Non-binary,High School,Divorced,82583.0,768,30366.0,Home,Self-employed,9,Poor,0.36770279597495853,119096,2,Lake Andrewmouth,PR,Algeria,4,0,Low,45-59,Africa
18,Male,Master's,Widowed,84162.0,606,5015.0,Business,Self-employed,17,Poor,0.05958746227513605,275773,1,Amandamouth,KS,Cambodia,1,2,Low,18-29,Asia
61,Female,Bachelor's,Single,25702.0,650,31654.0,Auto,Employed,15,Excellent,1.2315773091588202,149488,0,South Jessicafurt,WA,Christmas Island,1,2,Low,>=60,Oceania
21,Female,Bachelor's,Single,23582.0,736,19309.0,Personal,Unemployed,2,Good,0.8188024764651005,229415,4,West Jennifer,OK,Romania,3,2,Low,18-29,Europe
27,Male,Master's,Single,114452.0,668,36683.0,Auto,Self-employed,2,Poor,0.32050990808373814,191602,4,Herrerastad,WA,French Guiana,0,2,Low,18-29,South America
33,Male,Bachelor's,Single,22170.0,686,44357.0,Personal,Self-employed,18,Good,2.000766801984664,87943,4,South Justinshire,ID,Martinique,0,0,High,30-44,North America
56,Non-binary,Master's,Married,35299.0,625,24860.0,Home,Employed,7,Poor,0.7042692427547522,229939,3,Lake Stephanieborough,OR,Oman,0,1,Low,45-59,Asia
57,Female,High School,Divorced,59015.0,774,36334.0,Personal,Unemployed,16,Excellent,0.6156739811912225,50529,3,Walkermouth,PW,Singapore,0,2,Low,45-59,Asia
37,Non-binary,PhD,Single,74337.0,630,17919.0,Auto,Employed,5,Fair,0.24105088986641915,219321,4,Lindsaymouth,OK,Turkey,0,1,Low,30-44,Asia
23,Non-binary,Bachelor's,Divorced,47684.0,742,42901.0,Home,Employed,16,Fair,0.8996938176327489,78032,4,Brownfurt,IL,Portugal,3,2,Low,18-29,Europe
47,Male,Bachelor's,Married,111352.0,688,15044.0,Auto,Self-employed,3,Excellent,0.1351030964868166,283782,2,Thomaschester,ME,Sierra Leone,2,1,Low,45-59,Africa
48,Male,PhD,Widowed,106151.0,626,34164.0,Auto,Unemployed,10,Good,0.3218434117436482,22135,0,South Renee,SC,Kenya,2,2,Low,45-59,Africa
24,Male,Bachelor's,Married,94667.0,768,26118.0,Home,Self-employed,13,Good,0.2758933947415678,104282,1,Vanessaton,HI,Papua New Guinea,2,0,Low,18-29,Oceania
49,Female,High School,Divorced,49870.0,625,29285.0,Home,Self-employed,7,Poor,0.587226789653098,187903,2,Wattsview,CT,Moldova,4,0,Low,45-59,Europe
54,Female,Bachelor's,Married,74240.0,633,11854.0,Business,Unemployed,5,Good,0.15967133620689655,76783,1,Lake Natalie,FM,Poland,4,2,Low,45-59,Europe
39,Female,Bachelor's,Divorced,81517.0,711,32838.0,Business,Employed,19,Fair,0.40283621821215204,148754,4,South Whitneyview,NY,Argentina,3,1,Low,30-44,South America
23,Non-binary,Bachelor's,Single,34319.0,640,35058.0,Home,Unemployed,18,Poor,1.0215332614586672,37907,2,Rhodesmouth,DE,Saint Vincent and the Grenadines,3,1,Low,18-29,North America
54,Male,Bachelor's,Single,60753.0,778,25200.0,Personal,Unemployed,12,Good,0.41479433114414105,219389,2,West Anthonyberg,IN,Senegal,3,2,High,45-59,Africa
35,Non-binary,Master's,Married,56734.0,761,46826.0,Personal,Unemployed,15,Excellent,0.8253604540487186,238379,1,Port Patrickberg,IL,Italy,1,0,Low,30-44,Europe
21,Female,PhD,Married,58918.0,618,22165.0,Home,Employed,0,Good,0.376200821480702,222403,3,New Christopherland,IL,Slovakia (Slovak Republic),2,2,Medium,18-29,Europe
51,Female,Master's,Widowed,47685.0,718,23891.0,Home,Unemployed,0,Poor,0.50101709132851,112966,4,Johnton,KY,British Indian Ocean Territory (Chagos Archipelago),2,2,Low,45-59,Asia
